====================Start New Logs==============================
config: ND | instance: connect-3-4x4  | solver: caqe | preprocessor: bloqqer | time: 3
config: ND | instance: connect-3-4x4  | solver: depqbf | preprocessor: bloqqer | time: 3
config: ND | instance: connect-3-5x5  | solver: caqe | preprocessor: bloqqer | time: 47
config: ND | instance: connect-3-5x5  | solver: depqbf | preprocessor: bloqqer | time: 12
config: ND | instance: connect-3-6x6  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: ND | instance: connect-3-6x6  | solver: depqbf | preprocessor: bloqqer | time: 149
config: ND | instance: connect-4-4x4  | solver: caqe | preprocessor: bloqqer | time: 3
config: ND | instance: connect-4-4x4  | solver: depqbf | preprocessor: bloqqer | time: 4
config: ND | instance: connect-4-5x4  | solver: caqe | preprocessor: bloqqer | time: 62
config: ND | instance: connect-4-5x4  | solver: depqbf | preprocessor: bloqqer | time: 128
config: ND | instance: connect-4-5x5  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: ND | instance: connect-4-5x5  | solver: depqbf | preprocessor: bloqqer | time: > 1800
config: ND | instance: gttt-4x4-1-1-fatty-v2  | solver: caqe | preprocessor: bloqqer | time: 190
config: ND | instance: gttt-4x4-1-1-fatty-v2  | solver: depqbf | preprocessor: bloqqer | time: 35
config: ND | instance: gttt-4x4-1-1-elly-v2  | solver: caqe | preprocessor: bloqqer | time: 719
config: ND | instance: gttt-4x4-1-1-elly-v2  | solver: depqbf | preprocessor: bloqqer | time: 238
config: ND | instance: gttt-4x4-1-1-knobby-v2  | solver: caqe | preprocessor: bloqqer | time: 297
config: ND | instance: gttt-4x4-1-1-knobby-v2  | solver: depqbf | preprocessor: bloqqer | time: 146
config: ND | instance: gttt-4x4-1-1-skinny-v2  | solver: caqe | preprocessor: bloqqer | time: 1173
config: ND | instance: gttt-4x4-1-1-skinny-v2  | solver: depqbf | preprocessor: bloqqer | time: 59
config: ND | instance: gttt-4x4-1-1-tippy-v2  | solver: caqe | preprocessor: bloqqer | time: 346
config: ND | instance: gttt-4x4-1-1-tippy-v2  | solver: depqbf | preprocessor: bloqqer | time: 47
config: ND | instance: gttt-4x4-2-2-elly-v2  | solver: caqe | preprocessor: bloqqer | time: 15
config: ND | instance: gttt-4x4-2-2-elly-v2  | solver: depqbf | preprocessor: bloqqer | time: 11
config: ND | instance: gttt-4x4-2-2-knobby-v2  | solver: caqe | preprocessor: bloqqer | time: 45
config: ND | instance: gttt-4x4-2-2-knobby-v2  | solver: depqbf | preprocessor: bloqqer | time: 33
config: ND | instance: gttt-4x4-2-2-skinny-v2  | solver: caqe | preprocessor: bloqqer | time: 224
config: ND | instance: gttt-4x4-2-2-skinny-v2  | solver: depqbf | preprocessor: bloqqer | time: 55
config: ND | instance: gttt-4x4-2-2-tippy-v2  | solver: caqe | preprocessor: bloqqer | time: 83
config: ND | instance: gttt-4x4-2-2-tippy-v2  | solver: depqbf | preprocessor: bloqqer | time: 22
config: ND | instance: dots-and-boxes-2x2  | solver: caqe | preprocessor: bloqqer | time: 9
config: ND | instance: dots-and-boxes-2x2  | solver: depqbf | preprocessor: bloqqer | time: 9
config: ND | instance: dots-and-boxes-2x3  | solver: caqe | preprocessor: bloqqer | time: 262
config: ND | instance: dots-and-boxes-2x3  | solver: depqbf | preprocessor: bloqqer | time: > 1800
config: ND | instance: connect-3-3player-4x4  | solver: caqe | preprocessor: bloqqer | time: 3
config: ND | instance: connect-3-3player-4x4  | solver: depqbf | preprocessor: bloqqer | time: 2
config: ND | instance: connect-3-3player-5x5  | solver: caqe | preprocessor: bloqqer | time: 137
config: ND | instance: connect-3-3player-5x5  | solver: depqbf | preprocessor: bloqqer | time: 32
config: ND | instance: connect-3-3player-6x6  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: ND | instance: connect-3-3player-6x6  | solver: depqbf | preprocessor: bloqqer | time: 1569
config: ND | instance: connect-4-3player-4x4  | solver: caqe | preprocessor: bloqqer | time: 25
config: ND | instance: connect-4-3player-4x4  | solver: depqbf | preprocessor: bloqqer | time: 16
config: ND | instance: connect-4-3player-5x4  | solver: caqe | preprocessor: bloqqer | time: 434
config: ND | instance: connect-4-3player-5x4  | solver: depqbf | preprocessor: bloqqer | time: 98
config: ND | instance: connect-4-3player-5x5  | solver: caqe | preprocessor: bloqqer | time: 197
config: ND | instance: connect-4-3player-5x5  | solver: depqbf | preprocessor: bloqqer | time: 20
config: ND | instance: tic-tac-toe-3player-3x3  | solver: caqe | preprocessor: bloqqer | time: 1
config: ND | instance: tic-tac-toe-3player-3x3  | solver: depqbf | preprocessor: bloqqer | time: 1
config: ND | instance: tic-tac-toe-3player-4x4  | solver: caqe | preprocessor: bloqqer | time: > 1800
